X,-0.8513333333333333 0.44366666666666665,-0.32600000000000007 -0.6069999999999998,0.8106666666666668 -4.585333333333335,0.9620000000000002 -5.342000000000001,0.05933333333333335 0.5253333333333332,-3.533333333333332 29.266666666666655,0.8666666666666667 -12.533333333333335,1.3333333333333333 -17.666666666666664,-0.9999999999999993 11.499999999999993,2.7333333333333325 -40.76666666666665
0.624,-0.08756533333333327,-0.8104239999999998,-4.079477333333335,-4.7417120000000015,0.5623573333333333,27.061866666666656,-11.992533333333334,-16.834666666666664,10.875999999999994,-39.061066666666655
0.625,-0.08841666666666659,-0.8107499999999999,-4.078666666666668,-4.740750000000001,0.5624166666666666,27.058333333333323,-11.991666666666669,-16.833333333333332,10.874999999999993,-39.058333333333316
0.626,-0.08926800000000001,-0.8110759999999998,-4.0778560000000015,-4.739788000000002,0.5624759999999999,27.05479999999999,-11.990800000000002,-16.831999999999997,10.873999999999993,-39.055599999999984
0.627,-0.09011933333333333,-0.8114019999999998,-4.077045333333334,-4.738826000000001,0.5625353333333332,27.051266666666656,-11.989933333333335,-16.830666666666666,10.872999999999994,-39.05286666666665
0.628,-0.09097066666666664,-0.8117279999999998,-4.076234666666668,-4.737864000000001,0.5625946666666666,27.047733333333323,-11.989066666666668,-16.82933333333333,10.871999999999993,-39.05013333333332
0.629,-0.09182199999999996,-0.8120539999999998,-4.075424000000001,-4.7369020000000015,0.5626539999999999,27.04419999999999,-11.9882,-16.827999999999996,10.870999999999993,-39.04739999999998
0.63,-0.09267333333333327,-0.8123799999999998,-4.0746133333333345,-4.735940000000001,0.5627133333333332,27.040666666666656,-11.987333333333336,-16.826666666666664,10.869999999999994,-39.04466666666665
0.631,-0.0935246666666667,-0.8127059999999998,-4.073802666666668,-4.734978000000002,0.5627726666666666,27.037133333333323,-11.986466666666669,-16.82533333333333,10.868999999999993,-39.04193333333332
0.632,-0.09437600000000002,-0.8130319999999998,-4.072992000000001,-4.734016000000001,0.5628319999999999,27.03359999999999,-11.985600000000002,-16.823999999999998,10.867999999999993,-39.03919999999999
0.633,-0.09522733333333333,-0.8133579999999998,-4.072181333333335,-4.733054000000001,0.5628913333333332,27.030066666666656,-11.984733333333335,-16.822666666666663,10.866999999999994,-39.036466666666655
