X,-5.66133211400731E-4 0.016951623228167456 -0.20596936442616737 1.2216478433166404 -3.270455509831012 2.762446410608357 -0.6859631153788236,0.002539734796524242 -0.09020082304524431 1.2732002743481132 -9.181068815727254 35.78078765431382 -70.7977079560918 53.01449474164679,-0.006388172534686843 0.298163145862473 -5.590128486521588 53.76625781140821 -279.5104917243342 744.8637177425569 -795.9848529202077,0.006523639689045948 -0.379706995883289 8.984079561007885 -110.33480566944804 740.0739884745915 -2566.0235220755426 3589.189373557931,-9.741197988591336E-4 0.08140521262321816 -2.684308642062188 45.098434614864175 -408.90798039382037 1900.5398856366835 -3540.8050114981856
1.784,-1.0283993984517523,-0.19097214376314042,-102.89854934379173,824.6901173284082,-1221.3432937441612
1.785,-1.0295221730442932,-0.19713511861018418,-102.75025461490691,823.8970229126339,-1220.5283006457325
1.786,-1.0306445240813296,-0.2032856673775214,-102.60212483733301,823.1045292585122,-1219.7137360297484
1.787,-1.0317664502033588,-0.20942380611126765,-102.4541598753517,822.3126360208448,-1218.8995997257412
1.788,-1.0328879500528454,-0.21554955084335603,-102.30635959332153,821.5213428545767,-1218.0858915632907
1.789,-1.0340090222742053,-0.2216629175916509,-102.15872385567923,820.7306494147952,-1217.272611372025
1.79,-1.0351296655138147,-0.22776392235984844,-102.01125252693873,819.9405553567244,-1216.459758981619
1.791,-1.036249878420008,-0.23385258113751917,-101.86394547169198,819.151060335736,-1215.6473342217964
1.792,-1.0373696596430766,-0.2399289099001507,-101.71680255460751,818.3621640073402,-1214.835336922331
1.793,-1.0384890078352558,-0.24599292460911926,-101.5698236404321,817.5738660271895,-1214.0237669130406
1.794,-1.0396079216507466,-0.2520446412116897,-101.42300859398961,816.7861660510753,-1213.2126240237944
1.795,-1.0407263997456897,-0.25808407564101543,-101.2763572801814,815.999063734937,-1212.4019080845078
1.796,-1.0418444407781817,-0.2641112438162807,-101.12986956398584,815.2125587348473,-1211.5916189251461
1.797,-1.042962043408267,-0.27012616164244463,-100.98354531045925,814.4266507070256,-1210.7817563757194
1.798,-1.04407920629794,-0.27612884501049706,-100.83738438473517,813.6413393078328,-1209.9723202662894
1.799,-1.0451959281111338,-0.2821193097973449,-100.69138665202422,812.8566241937683,-1209.1633104269645
1.8,-1.0463122075137297,-0.2880975718658405,-100.5455519776142,812.0725050214737,-1208.354726687899
1.801,-1.0474280431735559,-0.29406364706481014,-100.39988022687021,811.2889814477326,-1207.5465688792983
