X,-1.3041237113402064 -0.16223195876288654,-0.6782246879334259 -0.6886130374479889,1.6388140161725069 -4.307827493261456,2.6141304347826093 -6.554956521739132,0.6180555555555545 -0.8541666666666643
0.465,-0.7686494845360826,-1.0039875173370318,-3.5457789757412406,-5.339385869565218,-0.5667708333333314
0.466,-0.7699536082474228,-1.0046657420249654,-3.544140161725068,-5.336771739130436,-0.566152777777776
0.467,-0.771257731958763,-1.0053439667128987,-3.5425013477088956,-5.334157608695653,-0.5655347222222203
0.468,-0.7725618556701032,-1.0060221914008323,-3.540862533692723,-5.331543478260871,-0.5649166666666647
0.469,-0.7738659793814433,-1.0067004160887656,-3.5392237196765506,-5.328929347826088,-0.5642986111111092
0.47,-0.7751701030927836,-1.007378640776699,-3.537584905660378,-5.326315217391305,-0.5636805555555537
0.471,-0.7764742268041237,-1.0080568654646325,-3.5359460916442056,-5.323701086956523,-0.5630624999999981
0.472,-0.777778350515464,-1.008735090152566,-3.534307277628033,-5.32108695652174,-0.5624444444444425
0.473,-0.7790824742268041,-1.0094133148404993,-3.5326684636118606,-5.318472826086958,-0.561826388888887
0.474,-0.7803865979381444,-1.0100915395284327,-3.531029649595688,-5.3158586956521745,-0.5612083333333315
0.475,-0.7816907216494846,-1.0107697642163662,-3.5293908355795156,-5.313244565217392,-0.5605902777777759
0.476,-0.7829948453608248,-1.0114479889042995,-3.527752021563343,-5.31063043478261,-0.5599722222222203
0.477,-0.784298969072165,-1.012126213592233,-3.5261132075471706,-5.308016304347827,-0.5593541666666648
0.478,-0.7856030927835052,-1.0128044382801664,-3.5244743935309977,-5.305402173913045,-0.5587361111111093
0.479,-0.7869072164948454,-1.0134826629680997,-3.522835579514825,-5.302788043478262,-0.5581180555555537
0.48,-0.7882113402061857,-1.0141608876560333,-3.5211967654986527,-5.300173913043479,-0.5574999999999981
0.481,-0.7895154639175258,-1.0148391123439668,-3.51955795148248,-5.297559782608697,-0.5568819444444426
0.482,-0.7908195876288661,-1.0155173370319002,-3.5179191374663077,-5.294945652173914,-0.5562638888888871
0.483,-0.7921237113402062,-1.0161955617198335,-3.516280323450135,-5.292331521739131,-0.5556458333333315
0.484,-0.7934278350515465,-1.016873786407767,-3.5146415094339627,-5.2897173913043485,-0.5550277777777759
0.485,-0.7947319587628866,-1.0175520110957004,-3.51300269541779,-5.287103260869566,-0.5544097222222204
0.486,-0.7960360824742269,-1.018230235783634,-3.5113638814016177,-5.284489130434784,-0.5537916666666649
0.487,-0.7973402061855671,-1.0189084604715672,-3.509725067385445,-5.281875000000001,-0.5531736111111093
0.488,-0.7986443298969073,-1.0195866851595006,-3.5080862533692727,-5.279260869565219,-0.5525555555555537
0.489,-0.7999484536082475,-1.0202649098474341,-3.5064474393531,-5.2766467391304355,-0.5519374999999982
0.49,-0.8012525773195877,-1.0209431345353677,-3.5048086253369277,-5.274032608695653,-0.5513194444444426
0.491,-0.8025567010309279,-1.021621359223301,-3.5031698113207552,-5.271418478260871,-0.550701388888887
0.492,-0.803860824742268,-1.0222995839112343,-3.5015309973045827,-5.268804347826088,-0.5500833333333315
0.493,-0.8051649484536083,-1.0229778085991679,-3.4998921832884102,-5.266190217391305,-0.549465277777776
0.494,-0.8064690721649486,-1.0236560332871012,-3.4982533692722377,-5.2635760869565225,-0.5488472222222204
0.495,-0.8077731958762887,-1.0243342579750347,-3.4966145552560652,-5.26096195652174,-0.5482291666666648
0.496,-0.809077319587629,-1.025012482662968,-3.4949757412398927,-5.258347826086958,-0.5476111111111093
0.497,-0.8103814432989691,-1.0256907073509016,-3.4933369272237202,-5.255733695652175,-0.5469930555555538
0.498,-0.8116855670103094,-1.026368932038835,-3.4916981132075477,-5.253119565217393,-0.5463749999999982
